boxerid,eigenvecscore,boxername,alias,division,bouts,KOs,rounds,stance,debut
447121,0.44898416668024677,Terence Crawford,Hunter / Bud,super lightweight,31,71%,165,orthodox,2008-03-14
43998,0.4437960216616148,Orlando Salido,Siri,lightweight,62,50%,426,orthodox,1996-03-01
479,0.4382566265554561,Virgil Hill,Quicksilver,light heavyweight,58,41%,462,orthodox,1984-11-15
395318,0.424468510259538,Moises Fuentes,Moi,light flyweight,28,46%,162,orthodox,2007-05-31
19329,0.41768660249411843,David Diaz,NA,lightweight,41,41%,264,southpaw,1996-11-30
17589,0.4117782849968883,Kuniaki Shibata,NA,super featherweight,56,45%,404,orthodox,1965-03-06
268173,0.4082272350628996,Timothy Bradley Jr,Desert Storm,welterweight,37,35%,287,orthodox,2004-08-20
1414,0.4070251414298461,Bernard Hopkins,The Executioner / The Alien,light heavyweight,67,48%,514,orthodox,1988-10-11
8119,0.39683970557162557,Julio Cesar Chavez,J.C.,super lightweight,115,75%,634,orthodox,1980-02-05
555,0.3951642007028638,Pernell Whitaker,Sweet Pea,welterweight,46,37%,379,southpaw,1984-11-15
7033,0.39324306512789925,Vitali Klitschko,Dr. Ironfist,heavyweight,47,87%,235,orthodox,1996-11-16
4462,0.39236261578596116,Naseem Hamed,Prince,featherweight,37,84%,185,southpaw,1992-04-14
8684,0.3855957108000284,Marvin Hagler,Marvelous,middleweight,67,78%,398,southpaw,1973-05-18
33535,0.37495934163014794,Miguel Cotto,Junito,super welterweight,45,73%,321,orthodox,2001-02-23
4141,0.3712650649150268,Dariusz Michalczewski,Tiger,light heavyweight,50,76%,310,orthodox,1991-09-16
482498,0.3696676194841929,James DeGale,'Chunky',super middleweight,25,56%,171,southpaw,2009-02-28
497268,0.36734693580305283,Badou Jack,The Ripper,super middleweight,24,50%,142,orthodox,2009-06-06
627,0.3663497063641546,Wilfredo Vazquez,El Orgullo de Puerto Rico,super bantamweight,68,60%,421,orthodox,1981-01-29
492989,0.36557226928732084,Guillermo Rigondeaux,El Chacal / The Jackal,super bantamweight,17,65%,107,southpaw,2009-05-22
391770,0.3650886770014323,Yuriorkis Gamboa,El Ciclon de Guantánamo,lightweight,28,61%,163,orthodox,2007-04-27
532,0.3650734039163019,Terry Norris,Terrible,super welterweight,56,55%,310,orthodox,1986-08-02
1623,0.360339381051741,Michael Carbajal,Manitas De Piedra,light flyweight,53,62%,361,orthodox,1989-02-24
215599,0.3595539243890371,Donnie Nietes,Ahas,flyweight,45,49%,327,orthodox,2003-04-25
623,0.3573785678096053,Johnny Nelson,The Entertainer,cruiserweight,59,49%,415,southpaw,1986-03-18
48243,0.3514414472505402,Nonito Donaire,The Filipino Flash,super bantamweight,41,59%,245,orthodox,2001-02-22
6070,0.34974882366146953,Hasim Rahman,The Rock,heavyweight,62,66%,297,orthodox,1994-12-03
1437,0.34658683160773,James Toney,Lights Out,heavyweight,92,51%,688,orthodox,1988-10-26
5364,0.3385071927428706,Joe Calzaghe,Pride of Wales / Italian Dragon,super middleweight,46,70%,262,southpaw,1993-10-01
3187,0.3313668081631878,Sung Kil Moon,NA,super flyweight,22,68%,133,orthodox,1987-03-08
4836,0.3271834987292302,Paulie Ayala,NA,bantamweight,38,32%,307,southpaw,1992-11-27
659771,0.3263511214666027,Vasyl Lomachenko,Hi-Tech,super featherweight,9,67%,80,southpaw,2013-10-12
3509,0.3256771047303371,Julio Cesar Gonzalez,NA,light heavyweight,49,51%,314,orthodox,1997-04-07
566,0.324239751305739,Mike McCallum,Bodysnatcher,super welterweight,55,65%,377,orthodox,1981-01-14
6922,0.3227129256572829,Joel Casamayor,El Cepillo,lightweight,45,49%,328,southpaw,1996-09-20
3254,0.3211594232564994,Felix Trinidad,Tito,welterweight,45,78%,238,orthodox,1990-03-10
8993,0.31945599191799373,Aaron Pryor,Hawk,super lightweight,40,88%,215,orthodox,1976-11-12
2179,0.313359988591283,Alexis Arguello,El Flaco Explosivo,super featherweight,85,73%,491,orthodox,1968-10-26
610,0.3116073892079316,Edwin Rosario,Chapo,lightweight,53,77%,259,orthodox,1979-03-03
1816,0.31033217936498003,Junior Jones,Poison,super bantamweight,56,50%,361,orthodox,1989-06-08
348759,0.3082224740283837,Saul Alvarez,Canelo,super welterweight,51,67%,353,orthodox,2005-10-29
319725,0.30751135422089837,Roman Gonzalez,Chocolatito,super flyweight,47,81%,229,orthodox,2005-07-01
505927,0.30659563256973094,Sergey Kovalev,Krusher,light heavyweight,32,81%,126,orthodox,2009-07-25
1160,0.30215239738491406,Johnny Tapia,Mi Vida Loca,super flyweight,66,45%,473,orthodox,1988-03-28
38843,0.29992183455363797,Omar Andres Narvaez,El Huracán,bantamweight,50,48%,420,southpaw,2000-12-01
474,0.29706133461584633,Mike Tyson,Iron,heavyweight,58,76%,215,orthodox,1985-03-06
421916,0.29636047324348547,John Riel Casimero,Quadro Alas,flyweight,26,58%,168,orthodox,2007-06-03
344846,0.2958859927546414,Shinsuke Yamanaka,NA,bantamweight,29,66%,202,southpaw,2006-01-07
438,0.29459404482527163,Wilfred Benitez,El Radar / Bible of Boxing,super welterweight,62,50%,485,orthodox,1973-11-22
6563,0.29422230372222835,Acelino Freitas,Popo,super featherweight,42,81%,197,orthodox,1995-07-14
97570,0.2906022759981592,Carl Froch,'The Cobra',super middleweight,35,69%,248,orthodox,2002-03-16
4059,0.2890581736707756,Khaosai Galaxy,NA,super flyweight,48,85%,272,southpaw,1980-12-17
4923,0.28685050830350195,Chris Byrd,Rapid Fire,heavyweight,47,47%,358,southpaw,1993-01-28
7203,0.2840142221894541,Sven Ottke,Phantom,super middleweight,34,18%,331,orthodox,1997-03-22
4388,0.28248849936945913,Kostya Tszyu,Thunder from Down Under,super lightweight,34,74%,202,orthodox,1992-03-01
80,0.2807757640582541,Roberto Duran,Manos de Piedra / El Cholo,lightweight,119,59%,821,orthodox,1968-02-23
3727,0.27949605711655995,Rolando Pascua,Jojo,light flyweight,70,24%,573,southpaw,1986-08-03
30654,0.27856115423928307,Hilario Zapata,Bujía,light flyweight,54,26%,551,southpaw,1977-10-28
15122,0.2781265443356961,Celestino Caballero,Pelenchin,super bantamweight,43,56%,298,orthodox,1998-11-18
613659,0.27532264970461207,Amnat Ruenroeng,NA,flyweight,18,28%,148,orthodox,2012-05-18
280342,0.268574958574355,Marco Huck,Käpt'n,cruiserweight,45,60%,338,orthodox,2004-11-07
774820,0.2641594682176098,Roy Jones Jr,Junior,cruiserweight,74,64%,485,NA,1989-05-06
6722,0.2635004568988033,Diego Corrales,Chico,lightweight,45,73%,230,orthodox,1996-03-19
150,0.2610826430585894,Larry Holmes,The Easton Assassin,heavyweight,75,59%,579,orthodox,1973-03-21
490,0.25955769398186646,Frankie Randall,The Surgeon,super lightweight,77,55%,416,orthodox,1983-02-04
244423,0.259389156664753,Jonathan Victor Barros,Yoni,featherweight,46,48%,276,orthodox,2004-03-26
659461,0.258431918915457,Anthony Joshua,AJ,heavyweight,19,100%,55,orthodox,2013-10-05
116,0.2568436480617064,Ernesto Marcel,Ñato (Flat Nose),featherweight,46,50%,314,orthodox,1966-04-17
140456,0.2543845964693661,Sonny Boy Jaro,NA,super flyweight,62,48%,334,orthodox,2001-09-01
3731,0.25391426144075235,Santos Benigno Laciar,Falucho,flyweight,101,31%,906,orthodox,1976-12-03
1728,0.2498453892953515,Corrie Sanders,The Sniper,heavyweight,46,67%,171,southpaw,1989-04-02
479205,0.24984538929535144,Tyson Fury,NA,heavyweight,25,72%,146,orthodox,2008-12-06
323521,0.249333231309112,Takashi Uchiyama,KO Dynamite,super featherweight,27,74%,171,orthodox,2005-07-16
1670,0.24698270614309464,Alfred Cole,Ice,cruiserweight,54,30%,402,orthodox,1989-03-25
3691,0.24678059045100484,Loreto Garza,NA,super lightweight,34,76%,151,orthodox,1983-02-01
60393,0.24426708497251867,Chad Dawson,Bad,light heavyweight,41,46%,265,southpaw,2001-08-18
1713,0.24339987762667892,Laurent Boudouani,NA,super welterweight,42,76%,216,NA,1989-04-17
180,0.24330416504756905,Muhammad Ali,The Greatest,heavyweight,61,61%,548,orthodox,1960-10-29
1259,0.2423332617259253,Carl Thompson,The Cat,cruiserweight,40,63%,225,orthodox,1988-06-06
666339,0.2420318076726978,Kosei Tanaka,NA,light flyweight,9,56%,66,orthodox,2013-11-10
287904,0.2385865582390668,Abner Mares,NA,featherweight,33,45%,252,orthodox,2005-01-06
19949,0.2379790356136683,Serhiy Dzinziruk,Dzyna / Razor,super welterweight,40,60%,237,southpaw,1999-01-22
3842,0.23745335132246673,Brian Mitchell,NA,super featherweight,49,43%,396,orthodox,1981-08-15
42089,0.23698683128689554,Vic Darchinyan,Raging Bull,super bantamweight,53,60%,347,southpaw,2000-11-03
9036,0.2347011156676288,Carlos Monzon,Escopeta,middleweight,100,59%,761,orthodox,1963-02-06
1491,0.23378210529145915,Ike Quartey,Bazooka,welterweight,42,74%,226,orthodox,1988-11-26
388345,0.23367812608351565,Ramon Garcia Hirales,Principe / Cuate / Zurdo,super flyweight,30,40%,222,southpaw,2007-03-16
7196,0.2335207650545836,David Reid,American Dream,super welterweight,19,37%,141,NA,1997-03-21
457231,0.2296113859146213,Erislandy Lara,The American Dream,super welterweight,28,50%,175,southpaw,2008-07-04
257790,0.22841381313045042,Marcos Maidana,El Chino,welterweight,40,78%,193,orthodox,2004-06-12
7981,0.2270001886105389,Daniel Santos,El Pillin,super welterweight,38,61%,205,southpaw,1996-09-28
125338,0.2257159194480011,Cristian Mijares,El Diamante,featherweight,66,39%,502,southpaw,1997-08-20
9005,0.22345441815988648,Antonio Cervantes,Kid Pambelé,super lightweight,106,42%,794,orthodox,1964-01-31
9314,0.22313977084342448,Ricky Hatton,The Hitman,super lightweight,48,67%,284,orthodox,1997-09-11
272879,0.2220350461649347,Michael Farenas,Hammer Fist,lightweight,52,65%,239,southpaw,2004-09-19
479775,0.22073159333861972,Gary Russell Jr,Mr.,featherweight,29,59%,131,southpaw,2009-01-16
16951,0.2205813991832306,Mikkel Kessler,Viking Warrior,super middleweight,49,71%,268,orthodox,1998-03-20
817,0.21995220752354724,Jeff Fenech,Marrickville Mauler,featherweight,33,64%,226,orthodox,1984-10-12
23935,0.21816095400415172,Zsolt Erdei,Madár / Firebird,light heavyweight,35,51%,268,orthodox,2000-12-05
25209,0.21809632200491774,Fernando Montiel,Cochulito,featherweight,62,63%,380,orthodox,1996-12-06
453289,0.2179267998998075,Carlos Cuadras,Príncipe,super flyweight,38,71%,192,orthodox,2008-05-31
485,0.21684374967709155,Roger Mayweather,Black Mamba,super lightweight,72,49%,516,orthodox,1981-07-29
509,0.21683815344970364,Tony Lopez,The Tiger,super featherweight,59,58%,380,orthodox,1983-05-03
181623,0.21675310838151185,Giovani Segura,El Guerrero Azteca,featherweight,38,76%,188,southpaw,2003-03-28
90,0.21673307669172398,George Foreman,Big George,heavyweight,81,84%,349,orthodox,1969-06-23
228103,0.2160087487491856,Koki Kameda,NA,bantamweight,35,51%,261,southpaw,2003-12-21
4088,0.21549342827683604,Chatchai Sasakul,Chatchai Singwangcha,super flyweight,68,56%,428,NA,1991-08-06
6077,0.21427846558555186,Veeraphol Sahaprom,Veeraphol Nakornluang,bantamweight,72,64%,465,orthodox,1994-12-05
41357,0.21333381141843316,Ivan Calderon,Iron Boy / El Niño De Hierro,minimumweight,39,15%,337,southpaw,2001-02-17
2129,0.2123633937792495,Jung-Koo Chang,The Korean Hawk,light flyweight,42,40%,334,orthodox,1980-11-17
470,0.21114307287425885,Nana Yaw Konadu,NA,bantamweight,47,68%,253,orthodox,1985-05-25
593,0.21048724616636205,Hiroki Ioka,NA,light flyweight,42,40%,323,orthodox,1986-01-23
3686,0.2103962045597751,Harold Grey,NA,super flyweight,31,55%,164,orthodox,1990-11-30
318081,0.20985797868452685,Alexander Povetkin,Russian Vityaz,heavyweight,32,72%,195,orthodox,2005-06-11
8585,0.20945251502350237,Julio Cesar Borboa,NA,super flyweight,30,73%,153,orthodox,1988-02-04
147,0.20912258079982585,Joe Frazier,Smokin',heavyweight,37,73%,212,orthodox,1965-08-16
440,0.20887794417276692,Azumah Nelson,The Professor,super featherweight,47,60%,400,orthodox,1979-12-01
1943,0.20832125710808988,Freddie Norwood,Lil Hagler,featherweight,48,48%,289,southpaw,1989-08-20
2068,0.20768714707340966,Gilberto Roman,NA,super flyweight,61,57%,461,orthodox,1981-08-29
3208,0.20758011189290687,Yuri Arbachakov,Yuri Ebihara,flyweight,24,67%,178,orthodox,1990-02-01
14023,0.20685003711945193,Toshiaki Nishioka,NA,super bantamweight,47,51%,301,southpaw,1994-12-11
2201,0.20449700572155663,Salvador Sanchez,Chava,featherweight,46,70%,376,orthodox,1975-05-04
565,0.20135507333502736,Julian Jackson,The Hawk,super welterweight,61,80%,240,orthodox,1981-02-02
4208,0.20134325574459178,Muangchai Kittikasem,J-Okay,flyweight,29,59%,189,orthodox,1988-06-10
17783,0.19980554918344143,Jean Marc Mormeck,The Marksman,cruiserweight,43,53%,278,orthodox,1995-03-25
8837,0.19814476573398007,Jose Luis Castillo,El Temible,lightweight,80,71%,441,orthodox,1990-05-04
8022,0.1978763241815162,Jose Luis Bueno,NA,super flyweight,41,51%,254,orthodox,1987-06-06
739,0.19469098501204155,Nigel Benn,Dark Destroyer,super middleweight,48,73%,237,orthodox,1987-01-28
14030,0.19447808426294041,Oscar Larios,Chololo,super bantamweight,71,55%,460,orthodox,1994-01-14
6812,0.19432550669596169,Eloy Rojas,NA,featherweight,47,60%,291,orthodox,1986-12-12
455859,0.19360999637921675,Adrien Broner,The Problem,welterweight,36,67%,199,orthodox,2008-05-31
9013,0.1932667451461257,Eusebio Pedroza,El Alacrán,featherweight,49,51%,428,orthodox,1973-12-01
7133,0.19293558489823964,Medgoen Singsurat,Medgoen 3-K Battery,flyweight,80,64%,420,orthodox,1997-01-30
23639,0.19184923946406385,Ben Villaflor,NA,super featherweight,68,46%,500,southpaw,1966-10-01
14429,0.1911123736175677,Sergio Martinez,Maravilla,middleweight,56,50%,401,southpaw,1997-12-27
460,0.1908706500091771,Luisito Espinosa,Golden Boy / Lindol (Earthquake),featherweight,60,43%,389,orthodox,1984-05-25
3342,0.18967256223480525,Myung Woo Yuh,Sonagi,light flyweight,39,36%,329,orthodox,1982-03-28
9000,0.18875639463496344,Bob Foster,NA,light heavyweight,65,71%,352,orthodox,1961-03-27
483786,0.18776008918552753,Kazuto Ioka,NA,flyweight,23,57%,200,orthodox,2009-04-12
3348,0.18724939109276342,Sot Chitalada,Chawalit Wongcharoen,flyweight,31,52%,252,orthodox,1983-05-05
3257,0.18697293292553177,Jose Bonilla,NA,flyweight,32,44%,237,orthodox,1990-03-10
10943,0.1868115615083092,Rafael Orono,Pantono,super flyweight,41,39%,308,orthodox,1979-02-18
364679,0.1845285477635621,Mikey Garcia,NA,lightweight,36,83%,178,orthodox,2006-07-14
612,0.18398305156591677,Donald Curry,Lone Star Cobra,welterweight,40,63%,229,orthodox,1980-12-26
8292,0.18386325037320664,Julio Cesar Vasquez,El Zurdo,super welterweight,82,52%,492,southpaw,1986-06-07
356831,0.1832686282422993,Gennady Golovkin,GGG,middleweight,37,89%,172,orthodox,2006-05-06
155774,0.18315044992728383,David Haye,'Hayemaker',heavyweight,31,84%,133,orthodox,2002-12-08
1286,0.1828746752244472,Michael Spinks,Jinx,light heavyweight,32,66%,226,orthodox,1977-04-16
447,0.18283732181638115,Iran Barkley,The Blade,middleweight,63,43%,400,orthodox,1982-12-09
624,0.18013393328301475,Magne Havnaa,NA,cruiserweight,22,50%,131,NA,1986-10-03
2542,0.1793627422738387,Wilfredo Gomez,Bazooka,super bantamweight,48,88%,264,orthodox,1974-11-16
466,0.1791607501139058,James Warring,NA,cruiserweight,23,48%,145,orthodox,1985-01-25
2552,0.17912352501461146,Samuel Serrano,El Torbellino,super featherweight,56,30%,506,orthodox,1969-11-01
9519,0.17865830221715898,Alfredo Escalera,El Salsero,super featherweight,70,44%,538,orthodox,1970-09-24
12222,0.1784491128937766,Juan Manuel Marquez,Dinamita,welterweight,64,63%,486,orthodox,1993-05-29
462,0.1776519639916673,Michael Nunn,Second To,middleweight,62,61%,415,southpaw,1984-12-20
628407,0.17764428518974623,Naoya Inoue,Monster,super flyweight,13,85%,82,orthodox,2012-10-02
607,0.17539857554003646,Hector Camacho,Macho,lightweight,88,43%,673,southpaw,1980-09-12
51748,0.1751962334889476,Danny Green,Green Machine,cruiserweight,41,68%,235,orthodox,2001-06-29
487,0.1744698065273518,Daniel Zaragoza,El Raton,super bantamweight,66,42%,580,southpaw,1980-10-17
15461,0.17409704672515489,Malcolm Tunacao,Eagle Eye,flyweight,41,49%,282,southpaw,1998-08-01
39798,0.1733132491616127,Chul-Ho Kim,NA,super flyweight,24,38%,178,orthodox,1978-10-07
1213,0.17318845084781173,Khaokor Galaxy,NiroteSankam,bantamweight,26,69%,132,southpaw,1985-10-09
51111,0.1730258263287529,Jiro Watanabe,NA,super flyweight,28,61%,223,southpaw,1979-03-27
29486,0.17245225826791064,Juan Diaz,Baby Bull,lightweight,46,46%,342,orthodox,2000-06-23
1012,0.17193535205693888,Sumbu Kalambay,Patrizio -Ali,middleweight,64,52%,427,orthodox,1980-10-10
7831,0.17106131502135022,Clinton Woods,NA,light heavyweight,48,52%,355,orthodox,1994-11-17
645,0.17099242920327423,Steve Collins,Celtic Warrior,super middleweight,39,54%,283,orthodox,1986-10-24
291928,0.17080279816095234,Juan Manuel Lopez,Juanma,super featherweight,40,80%,180,southpaw,2005-01-29
571,0.16932921178124946,Uriah Grant,Bossman,light heavyweight,51,55%,307,orthodox,1984-06-22
3582,0.1693025629515665,Anucha Phothong,Ratanapol Sor Vorapin,minimumweight,68,71%,304,southpaw,1990-10-04
325,0.16664891199889909,Dwight Muhammad Qawi,Camden Buzzsaw,light heavyweight,53,47%,380,orthodox,1978-04-19
290691,0.16631883336899178,Jean Pascal,NA,light heavyweight,38,47%,275,orthodox,2005-02-03
97557,0.16571135200841683,Anselmo Moreno,Chemito,bantamweight,43,28%,332,southpaw,2002-03-10
1311,0.16476236524796992,Rocky Lockridge,NA,super featherweight,53,68%,340,orthodox,1978-08-09
5843,0.16471966886076297,Anaclet Wamba,NA,cruiserweight,49,47%,332,NA,1982-11-27
178718,0.16469131528717215,Juan Carlos Salgado,NA,lightweight,35,46%,214,orthodox,2003-03-13
28732,0.16321564284375126,Boone Pultz,NA,cruiserweight,29,52%,149,southpaw,1982-10-16
6642,0.16179859667366098,Jorge Arce,Travieso,light flyweight,75,65%,438,orthodox,1996-01-19
34020,0.16179315087010235,Denis Lebedev,NA,cruiserweight,32,69%,183,southpaw,2001-02-27
8987,0.16090626610183065,Lamon Brewster,Relentless,heavyweight,41,73%,176,orthodox,1996-11-08
60992,0.16063785118162013,Cristobal Cruz,Lacandón,super lightweight,67,37%,506,orthodox,1992-01-17
8999,0.16039030076297975,Nino Benvenuti,Nino,middleweight,90,39%,707,orthodox,1961-01-20
11677,0.15964306453219562,Antonio Margarito,El Tornado de Tijuana,super welterweight,49,55%,297,orthodox,1994-01-14
804,0.15960756344506105,Chris Eubank,Simply the Best,super middleweight,52,44%,393,orthodox,1985-10-03
3912,0.15924663670145556,Philip Holiday,No Deal,welterweight,47,47%,331,NA,1991-04-18
8529,0.15923092167329483,Saen Sor Ploenchit,Somchai Chertchai,flyweight,47,30%,398,orthodox,1990-02-25
42493,0.1575975508177587,Edgar Sosa,NA,flyweight,62,48%,461,orthodox,2000-04-01
4985,0.15710191534897214,Wayne McCullough,Pocket Rocket,bantamweight,34,53%,243,orthodox,1993-02-23
43525,0.15680677507676122,Brian Viloria,Hawaiian Punch,super flyweight,44,50%,328,orthodox,2001-05-15
14043,0.15643618999111839,Antonio Tarver,Magic Man,heavyweight,39,56%,287,southpaw,1997-02-18
8657,0.1558731828630833,Carlos De Leon,Sugar,cruiserweight,62,53%,389,orthodox,1974-08-03
9034,0.15484858696237794,Fighting Harada,NA,bantamweight,62,35%,501,orthodox,1960-02-21
511,0.15435782409783202,Genaro Hernandez,Chicanito,super featherweight,41,41%,308,orthodox,1984-09-27
314558,0.15426408165514746,Amir Khan,'King Khan',welterweight,35,54%,209,orthodox,2005-07-16
7205,0.1540394379905705,Fernando Vargas,Ferocious / El Feroz,super welterweight,31,71%,183,orthodox,1997-03-25
42474,0.15372894024571335,Gaby Canizales,NA,bantamweight,57,63%,377,orthodox,1979-05-07
451,0.15348695714489444,Oliver McCall,The Atomic Bull,heavyweight,73,51%,428,orthodox,1985-11-02
35832,0.15193584719307196,Saensak Muangsurin,Boonsong Mansri,super lightweight,20,55%,180,southpaw,1974-11-16
223046,0.15186232831303792,Lucian Bute,Le Tombeur,light heavyweight,37,68%,255,southpaw,2003-11-22
387379,0.15174709028723174,Khabib Allakhverdiev,The Hawk,super lightweight,21,43%,120,southpaw,2007-03-10
7045,0.14999729168568848,Markus Beyer,Boom Boom,super middleweight,39,33%,313,southpaw,1996-11-23
31056,0.1483145503252763,Jermain Taylor,Bad Intentions,middleweight,38,53%,273,orthodox,2001-01-27
21948,0.14779070378951226,Young Kyun Park,NA,featherweight,32,50%,235,orthodox,1986-12-09
528,0.14777338796673048,Jesus Rojas,Kiki,flyweight,51,39%,401,orthodox,1985-09-13
8152,0.1472483882544577,Jose Luis Ramirez,El Zurdo,lightweight,111,74%,614,southpaw,1973-03-25
503,0.14695025005894385,Manuel Medina,Mantecas,featherweight,84,38%,609,orthodox,1985-10-09
11505,0.14684685192227456,Eder Jofre,Golden Bantam /O Galo Do Ouro,bantamweight,78,64%,552,orthodox,1957-03-29
78475,0.14625983801391043,Chris John,The Dragon,featherweight,52,42%,416,orthodox,1998-06-04
58717,0.14625109508954956,Joan Guzman,Sycuan Warrior / Little Tyson,super featherweight,37,57%,221,orthodox,1997-09-23
18909,0.14566618604553178,Sergio Victor Palma,NA,super bantamweight,62,32%,533,orthodox,1976-01-15
19904,0.14559460121552115,Nikolay Valuev,The Russian Giant,heavyweight,53,64%,276,orthodox,1993-10-15
8073,0.14477270362329156,Melchor Cob Castro,NA,light flyweight,87,39%,726,southpaw,1985-01-14
7200,0.14470145305691773,Scotty Olson,The Bulldog,flyweight,40,63%,220,orthodox,1990-01-28
9025,0.14364833739869817,Jose Napoles,Mantequilla,welterweight,88,61%,585,orthodox,1958-08-02
4645,0.14342253493047655,Danny Romero,Kid Dynamite,super flyweight,52,73%,263,orthodox,1992-08-14
176707,0.14271029355471862,Jan Zaveck,Mr Sympathicus,super welterweight,40,48%,274,orthodox,2003-03-01
30295,0.14222827499968332,Mando Ramos,NA,lightweight,49,47%,342,orthodox,1965-11-18
17752,0.14183848710172509,Krzysztof Wlodarczyk,Diablo,cruiserweight,57,65%,356,orthodox,2000-06-10
13019,0.1416194400909743,Rafael Marquez,NA,bantamweight,50,74%,240,orthodox,1995-09-14
467843,0.14097759208538987,Juan Francisco Estrada,El Gallo,super flyweight,37,68%,211,orthodox,2008-08-30
4995,0.14097448557594758,William Joppy,NA,middleweight,49,61%,282,orthodox,1993-02-26
98924,0.14014016026598186,Simpiwe Vetyeka,V12,featherweight,32,53%,224,orthodox,2002-01-11
11594,0.14008058867762305,Vicente Saldivar,El Zurdo de Oro,featherweight,40,65%,291,southpaw,1961-02-18
245656,0.13998710266109818,Tavoris Cloud,Thunder,light heavyweight,27,70%,132,orthodox,2004-04-02
842,0.13968116999895477,Vuyani Bungu,The Beast / Carousel Kid,super bantamweight,44,43%,362,NA,1987-04-26
523,0.1392494863403968,Daorung Chuwatana,Surapol Sidangnoi,bantamweight,71,51%,398,southpaw,1985-10-04
1782,0.13922296226502293,Gerry Penalosa,Fearless,super bantamweight,65,57%,464,southpaw,1989-05-20
113634,0.13907616442389054,Sultan Ibragimov,NA,heavyweight,24,71%,127,southpaw,2002-05-25
5971,0.13900252278527836,Yokthai Sithoar,NA,super flyweight,37,46%,283,orthodox,1994-10-09
1629,0.13874594140539198,Vince Phillips,Cool,super lightweight,61,56%,373,orthodox,1989-02-28
3003,0.1378582608227775,Miguel Lora,Happy,bantamweight,40,43%,305,NA,1979-07-27
3363,0.1377053768045516,Henry Maske,Gentleman,light heavyweight,32,34%,270,southpaw,1990-05-09
7037,0.137494253081437,Noel Arambulet,El Verdugo,minimumweight,33,33%,253,orthodox,1996-11-18
507,0.1371931119457685,Orlando Canizales,NA,bantamweight,57,65%,384,orthodox,1984-08-25
457150,0.13689074474837717,Jesus Andres Cuellar,El Jinete / El Forastero,featherweight,30,70%,166,southpaw,2008-06-14
584,0.13635286676462305,James Douglas,Buster,heavyweight,46,54%,238,orthodox,1981-05-31
272077,0.13596483238119786,Lamont Peterson,Havoc,welterweight,39,44%,276,orthodox,2004-09-25
1137,0.13531725033873604,Michael Moorer,Double M,heavyweight,57,70%,294,southpaw,1988-03-04
8618,0.13402863740703364,Matthew Saad Muhammad,Matthew Franklin,light heavyweight,58,50%,397,orthodox,1974-01-14
5677,0.1330980346512991,Rudy Idanio,Ronnie Edano,flyweight,81,16%,655,NA,1987-07-18
16450,0.13299992695574722,Koichi Wajima,NA,super welterweight,38,66%,268,orthodox,1968-06-15
51302,0.1327742389500715,Yoko Gushiken,Kanmuriwashi (Fierce Eagle),light flyweight,24,63%,204,southpaw,1974-05-28
449,0.13254657400666464,Mark Breland,NA,welterweight,39,64%,184,orthodox,1984-11-15
331,0.13226953142288958,Dennis Andries,The Hackney Rock,light heavyweight,65,46%,531,orthodox,1978-05-16
506772,0.13224319801121243,Hirofumi Mukai,NA,super flyweight,21,14%,137,southpaw,2009-08-01
